trip_no,vcaseid,no,season,vq3,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4_9,vq4_10,vq4_a1_1,vq4_a1_2,vq4_a1_3,vq4_a1_4,vq4_a1_5,vq4_a1_6,vq4_a1_7,vq4_a1_8,vq4_a1_9,vq4_a1_10,vq4_a2_1,vq4_a2_2,vq4_a2_3,vq4_a2_4,vq4_a2_5,vq4_a2_6,vq4_a2_7,vq4_a2_8,vq4_a2_9,vq4_a2_10,vq4_a3_1,vq4_a3_2,vq4_a3_3,vq4_a3_4,vq4_a3_5,vq4_a3_6,vq4_a3_7,vq4_a3_8,vq4_a3_9,vq4_a3_10,vq4_a4_1,vq4_a4_2,vq4_a4_3,vq4_a4_4,vq4_a4_5,vq4_a4_6,vq4_a4_7,vq4_a4_8,vq4_a4_9,vq4_a4_10,vq4_a5_1,vq4_a5_2,vq4_a5_3,vq4_a5_4,vq4_a5_5,vq4_a5_6,vq4_a5_7,vq4_a5_8,vq4_a5_9,vq4_a5_10,vq4_a6_1,vq4_a6_2,vq4_a6_3,vq4_a6_4,vq4_a6_5,vq4_a6_6,vq4_a6_7,vq4_a6_8,vq4_a6_9,vq4_a6_10,vq4_a7_1,vq4_a7_2,vq4_a7_3,vq4_a7_4,vq4_a7_5,vq4_a7_6,vq4_a7_7,vq4_a7_8,vq4_a7_9,vq4_a7_10,vq4_a8_1,vq4_a8_2,vq4_a8_3,vq4_a8_4,vq4_a8_5,vq4_a8_6,vq4_a8_7,vq4_a8_8,vq4_a8_9,vq4_a8_10,vq4_a9_1,vq4_a9_2,vq4_a9_3,vq4_a9_4,vq4_a9_5,vq4_a9_6,vq4_a9_7,vq4_a9_8,vq4_a9_9,vq4_a9_10,vq4_a10_1,vq4_a10_2,vq4_a10_3,vq4_a10_4,vq4_a10_5,vq4_a10_6,vq4_a10_7,vq4_a10_8,vq4_a10_9,vq4_a10_10,vq4_a11_1,vq4_a11_2,vq4_a11_3,vq4_a11_4,vq4_a11_5,vq4_a11_6,vq4_a11_7,vq4_a11_8,vq4_a11_9,vq4_a11_10,vq4_a12_1,vq4_a12_2,vq4_a12_3,vq4_a12_4,vq4_a12_5,vq4_a12_6,vq4_a12_7,vq4_a12_8,vq4_a12_9,vq4_a12_10,vq4_a13_1,vq4_a13_2,vq4_a13_3,vq4_a13_4,vq4_a13_5,vq4_a13_6,vq4_a13_7,vq4_a13_8,vq4_a13_9,vq4_a13_10,vq4_a14_1,vq4_a14_2,vq4_a14_3,vq4_a14_4,vq4_a14_5,vq4_a14_6,vq4_a14_7,vq4_a14_8,vq4_a14_9,vq4_a14_10,vq4_a15_1,vq4_a15_2,vq4_a15_3,vq4_a15_4,vq4_a15_5,vq4_a15_6,vq4_a16_1,vq4_a16_2,vq4_a16_3,vq4_a16_4,vq4_a16_5,vq4_a16_6,vq4_a16_7,vq4_a16_8,vq4_a16_9,vq4_a16_10,vq4_a17_1,vq4_a17_2,vq4_a17_3,vq4_a17_4,vq4_a17_5,vq4_a17_6,vq4_a17_7,vq4_a17_8,vq4_a18_1,vq4_a18_2,vq4_a18_3,vq4_a18_4,vq4_a18_5,vq4_a18_6,vq4_a18_7,vq4_a18_8,vq4_a18_9,vq4_a18_10,vq4_a19_1,vq4_a19_2,vq4_a19_3,vq4_a19_4,vq4_a19_5,vq4_a19_6,vq4_a19_7,vq4_a19_8,vq4_a19_9,vq4_a19_10,vq4_a20_1,vq4_a20_2,vq4_a20_3,vq4_a20_4,vq4_a20_5,vq4_a20_6,vq4_a20_7,vq4_a20_8,vq4_a20_9,vq4_a20_10,vq4_a21_1,vq4_a21_2,vq4_a21_3,vq4_a21_4,vq4_a21_5,vq4_a21_6,vq4_a21_7,vq4_a21_8,vq4_a21_9,vq4_a21_10,vq4_a22_1,vq4_a22_2,vq4_a22_3,vq4_a22_4,vq4_a22_5,vq4_a22_6,vq4_a22_7,vq4_a22_8,vq4_a22_9,vq4_a22_10,vq5,vq5a,vq5b,vq6,vq6a,vq7,vq7a,vq7b,vq7c_1,vq7c_2,vq7c_3,vq7c_4,vq7c_5,vq7c_6,vq7c_7,vq7c_8,vq7c_9,vq7c_10,vq8,vq9,vq9_1_1,vq9_1_2,vq9_1_3,vq9_2,vq9_3_1,vq9_3_2,vq9_3_3,vq9_3_4,vq9_3_5,vq9_4_1,vq9_4_2,vq9_4_3,vq9_4_4,vq9_4_5,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10_6,vq10_7,vq10a_1,vq10a_2,vq10b_1,vq10b_2,vq10c_1,vq10c_2,vq11,vq11a,vq11b,vq11c,vq12a,vq12a1,vq12a1_1,vq12a1_2,vq12a1_3,vq12a1_4,vq12a1_5,vq12a2,vq12a3,vq12a4,vq12a5,vq12a6,vq12a7,vq12a8,vq12a8_1_1,vq12a8_1_2,vq12a8_1_3,vq12a8_1_4,vq12a8_1_5,vq12a8_1_6,q12a,q12a1,q12a2,q12a3,q12a4,q12a5,q12a6,q12a7,vq13_1,vq13_2,vq13_3,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq15,vq15a_1,vq15a_2,vq15a_3,vq15a_4,vq15a_5,vq15a_6,vq16_1,vq16_2,vq16_3,vq16_4,vq16_5,vq16_6,vq16_7,vq16_8,vq16_9,vq16_10,vq16a,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight_q6
15669,99104687,20774,4,10,1, , , , , , , , , ,190, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,4,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0,8, , ,8, , , , , ,2, , , , , , ,201,209, , , , , , , , ,209,11,1,11,2,1,1,2,.917865
15543,99101640,20607,4,10,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,12, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,4,1,3,1,1, , , , , , ,450,0,50,0,250,0,150,0,7,5,8,8, , , , , ,2, , , , , , ,308,501,603, , , , , , , ,308,7,3,13,2,1,1,2,.833058
10829,96242344,14479,3,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,809, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,1,0,3,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0, , , ,5, , , , , ,2, , , , , , ,101,102,103,501, , , , , , ,101,6,4,5,2,6,5,2,1.159823
10457,96218935,13959,3,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1688, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3,2,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,6, ,1,1,1,1,1, , , , , , ,450,0,450,0,0,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,6,5,11,1,4,5,2,.434343
10349,96212810,13821,3,9,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1850,1865, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,0,0,3,1, , , , , ,3, ,4,1,2,1,1, , , , , , ,450,0,150,0,250,0,50,0,8, , ,8, , , , , ,2, , , , , , ,101,102,501, , , , , , , ,101,10,5,13,2,6,6,1,.928625
9761,96149423,13059,3,9,1, , , , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,1, , , , , ,2, , , ,3,1, , , , , ,2, ,5,2,1,1,1, , , , , , ,450,0,50,0,350,50,0,0,6,7,11,8, , , , , ,2, , , , , , ,101, , , , , , , , , ,101,7,4,6,1,5,1,2,.894851
9594,96137085,12831,3,9,1, , , , , , , , , ,144, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,3,7, , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,2, ,4,1,3,1,1, , , , , , ,450,0,50,0,250,0,150,0, , , ,8, , , , , ,2, , , , , , ,101,603, , , , , , , , ,603,11,3,13,4,8,1,1,.845979
13312,98232403,18000,3,9,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2088, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,6, ,1,1,1,1,2,1, , , , , ,450,0,450,0,0,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,5,5,6,1,6,13,1,2.155355
13234,98229716,17894,3,9,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,2, ,4,1,3,1,1, , , , , , ,450,0,50,0,250,0,150,0,5, , ,8, , , , , ,2, , , , , , ,101,102,501, , , , , , , ,501,7,5,1,1,9,17,2,.691151
12976,98222517,17532,3,9,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,0,0,3,1, , , , , ,2, ,4,1,3,1,1, , , , , , ,450,0,50,0,250,0,150,0,11, , ,8, , , , , ,2, , , , , , ,101,102,104, , , , , , , ,102,7,5,6,2,8,8,1,1.245836
12407,98208763,16717,3,9,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1013, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,3, ,4,2,1,1,1, , , , , , ,450,0,150,0,250,50,0,0,8, , ,3, , , , , ,2, , , , , , ,101,102, , , , , , , , ,102,10,3,8,2,5,14,1,.948392
12369,98207752,16667,3,9,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,2, ,3,4,1,1,2,3, , , , , ,450,0,50,0,150,250,0,0,8, , ,5, , , , , ,1,3, , , , , ,603,604, , , , , , , , ,604,4,6,3,2,9,8,1,2.572777
11759,98119014,15785,3,9,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,7, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,2, ,3,1,4,1,1, , , , , , ,450,0,50,0,150,0,250,0,5,7,8,8, , , , , ,2, , , , , , ,501,603, , , , , , , , ,603,10,2,13,1,5,1,2,.890681
11756,98118990,15782,3,9,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,322, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,3,1,4,1,1, , , , , , ,450,0,50,0,150,0,250,0,8,7, ,8, , , , , ,2, , , , , , ,102,104,603, , , , , , , ,102,11,3,13,2,5,3,2,.913664
10066,96171194,13440,3,8,1, , , , , , , , , ,141, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,3,1, , , , , ,2, ,4,3,1,1,1, , , , , , ,450,0,50,0,250,150,0,0,7, , ,8, , , , , ,2, , , , , , ,101,602,765, , , , , , , ,101,9,3,13,2,9,1,2,.901153
9983,96164732,13334,3,8,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,7, , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0,5,7, ,8, , , , , ,2, , , , , , ,101,501,603, , , , , , , ,603,6,5,3,1,6,1,1,1.568866
9924,96160027,13264,3,8,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,7, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,1, ,5,1,2,1,1, , , , , , ,450,0,50,0,350,0,50,0,8,7, ,8, , , , , ,2, , , , , , ,101,501,603, , , , , , , ,603,11,3,13,2,6,2,1,.891048
9772,96150107,13076,3,8,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,328, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,3, ,4,2,1,1,1, , , , , , ,450,0,150,0,250,50,0,0,7, , ,2, , , , , ,2, , , , , , ,101,102, , , , , , , , ,102,8,4,11,2,2,3,2,.912453
9490,96129653,12700,3,8,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1601, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,2,0,4,1, , , , , ,3, ,4,2,1,1,1, , , , , , ,450,0,150,0,250,50,0,0,8,11, ,8, , , , , ,2, , , , , , ,204,765, , , , , , , , ,204,5,5,6,2,8,10,2,1.69899
9452,96126895,12655,3,8,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,12, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,2, ,3,1,4,1,1, , , , , , ,450,0,50,0,150,0,250,0,8,7,5,8, , , , , ,2, , , , , , ,308,501,603, , , , , , , ,501,11,3,13,3,3,2,1,.891048
13227,98229617,17886,3,8,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1820, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,4,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0,8, , ,8, , , , , ,2, , , , , , ,101,102,501,503, , , , , , ,501,11,2,13,4,5,5,1,.822251
13222,98229549,17881,3,8,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2098, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0, , , ,8, , , , , ,2, , , , , , ,101,102,603, , , , , , , ,603,10,3,8,2,6,6,1,.928625
13121,98226777,17735,3,8,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1822, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,2,2,3,1, , , , , ,4, ,3,2,1,1,1, , , , , , ,450,0,250,0,150,50,0,0,11, , ,3, , , , , ,2, , , , , , ,101,102, , , , , , , , ,101,8,2,11,2,5,5,2,.869752
12768,98217478,17238,3,8,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,1,2,1,0,3,1, , , , , ,2, ,3,4,1,1,1, , , , , , ,450,0,50,0,150,250,0,0,8, , ,8, , , , , ,2, , , , , , ,101,102,501, , , , , , , ,102,5,5,8,2,7,19,1,2.189233
12614,98213690,17015,3,8,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,688, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,3,1, , , , , ,3, ,3,1,3,1,1, , , , , , ,450,0,150,0,150,0,150,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,1,2,14,1,1,4,2,3.469663
12513,98211579,16880,3,8,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1088, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,2,1,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,3,1, , , , , ,6, ,1,1,1,1,1, , , , , , ,450,0,450,0,0,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,1,1,14,1,1,6,2,3.662062
12385,98208111,16687,3,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,788, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,3,1, , , , , ,2, ,4,1,3,1,1, , , , , , ,450,0,50,0,250,0,150,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,5,5,9,1,5,11,1,2.301989
